Voc V,Isc A,Jsc mA/cm2,Imax A,Vmax V,Pmax mW,Fill Factor,Efficiency,R at Voc,R at Isc,Power W,RShunt ohms,Cell Temp start,Cell Temp end,Exposure,Time,Date,name,substrate,position,batch
0.00954833,0.0001387,1.79736929,0.0,,,,,84.756968,54.614,5.9e-07,,,,8.375,15:07:54,06/04/2024,A3-1-A,1,A,3
0.02061272,0.0002874,3.72424717,0.00023281,0.004,0.00093124,15.7196,0.0121,71.240297,73.274,2.97e-06,,,,8.359,15:10:53,06/04/2024,A3-1-C,1,C,3
1.0571252,0.00147044,19.05461528,0.00115152,0.76311402,0.87874468,56.5311,11.3871,148.653533,7346.29,0.00126114,,,,8.484,15:09:34,06/04/2024,A3-1-E,1,E,3
0.00327542,0.00015752,2.04120499,0.0,,,,,20.79369,20.794,2.6e-07,,,,8.359,15:12:56,06/04/2024,A3-2-A,2,A,3
0.00152336,0.00010676,1.38340557,0.0,,,,,14.26937,14.269,8e-08,,,,8.172,15:13:50,06/04/2024,A3-2-B,2,B,3
0.00550437,0.00019973,2.58821698,0.0,,,,,27.129927,27.723,5.5e-07,,,,8.359,15:14:15,06/04/2024,A3-2-C,2,C,3
0.02949604,0.00026054,3.37621066,0.0,,,,,121.12737,109.457,3.74e-06,,,,8.437,15:15:43,06/04/2024,A3-2-D,2,D,3
0.70147697,0.0013768,17.84110315,0.00076328,0.36768302,0.28064667,29.0587,3.6367,373.557806,819.348,0.00053552,,,,8.547,15:19:25,06/04/2024,A3-4-A,4,A,3
0.41538167,0.00111158,14.40427976,0.00055537,0.21179213,0.11762269,25.4744,1.5242,354.291855,391.008,0.00023379,,,,8.359,15:20:38,06/04/2024,A3-4-B,4,B,3
0.25026825,0.00094867,12.2932387,0.00048007,0.12488627,0.05995464,25.2524,0.7769,263.200554,267.622,0.00011973,,,,8.562,15:21:52,06/04/2024,A3-4-C,4,C,3
0.12417215,0.00089326,11.57521935,0.00045275,0.06176368,0.02796334,25.2108,0.3624,135.113506,144.698,5.629e-05,,,,8.359,15:25:28,06/04/2024,A3-5-A,5,A,3
0.21412592,0.00109143,14.14313454,0.00055496,0.10672935,0.05923069,25.3445,0.7675,189.79625,200.484,0.00011793,,,,8.359,15:25:52,06/04/2024,A3-5-B,5,B,3
0.18799045,0.00107484,13.92815263,0.00058153,0.09482793,0.05514575,27.2919,0.7146,153.599457,211.399,0.00010641,,,,8.375,15:26:14,06/04/2024,A3-5-C,5,C,3
0.19220388,0.00123046,15.94478723,0.00062225,0.09495353,0.05908486,24.9831,0.7656,191.857772,160.531,0.00011762,,,,8.344,15:28:24,06/04/2024,A3-5-D,5,D,3
0.08135895,0.00098092,12.71116835,0.00049665,0.04295481,0.02133339,26.7313,0.2764,63.924147,87.581,4.202e-05,,,,8.359,15:28:46,06/04/2024,A3-5-E,5,E,3
0.1466031,0.00098669,12.78597532,0.00049854,0.07376162,0.03677309,25.4217,0.4765,134.589556,152.387,7.338e-05,,,,8.562,15:34:41,06/04/2024,A3-6-A,6,A,3
0.15726104,0.00113392,14.69385273,0.00057537,0.07867507,0.04526764,25.3853,0.5866,139.60742,150.079,9.014e-05,,,,8.359,15:35:21,06/04/2024,A3-6-B,6,B,3
0.0580022,0.00072035,9.33460362,0.0,,,,,70.859473,85.058,2.131e-05,,,,8.344,15:35:50,06/04/2024,A3-6-C,6,C,3
0.253254,0.00115051,14.90872599,0.00053795,0.14604679,0.07856538,26.9641,1.0181,149.148984,235.746,0.00015381,,,,8.562,15:36:20,06/04/2024,A3-6-D,6,D,3
0.17009828,0.00114948,14.89548549,0.00057767,0.08694012,0.05022308,25.6862,0.6508,145.801164,159.537,9.948e-05,,,,8.344,15:36:54,06/04/2024,A3-6-E,6,E,3
